episode_id,object_type,episode_dir,task,num_actions,duration_s,source,shoulder_pan_major_rev,shoulder_pan_range,shoulder_pan_rev_per_step,shoulder_pan_mean_speed,shoulder_pan_peak_speed,shoulder_pan_fast_rev,shoulder_lift_major_rev,shoulder_lift_range,shoulder_lift_rev_per_step,shoulder_lift_mean_speed,shoulder_lift_peak_speed,shoulder_lift_fast_rev,elbow_flex_major_rev,elbow_flex_range,elbow_flex_rev_per_step,elbow_flex_mean_speed,elbow_flex_peak_speed,elbow_flex_fast_rev,wrist_flex_major_rev,wrist_flex_range,wrist_flex_rev_per_step,wrist_flex_mean_speed,wrist_flex_peak_speed,wrist_flex_fast_rev,total_major_rev,max_range,max_rev_per_step,oscillating_joints,n_oscillating_joints,oscillation_class,max_mean_speed,max_peak_speed,max_fast_rev,high_velocity,high_peak,review_flag,review_reason
banana__161_banana,banana,161_banana,put the banana on the tray,103,5.152,commanded,0,0.7,0.0,0.144,0.57,0,0,1.2,0.0,0.283,0.89,0,0,1.5,0.0,0.268,0.95,0,0,2.7,0.0,0.117,0.83,0,0,2.7,0.0,,0,zero_movement,0.283,0.95,0,False,False,False,
banana__163_banana,banana,163_banana,put the banana on the tray,108,4.984,commanded,0,1.8,0.0,0.133,0.55,0,0,2.0,0.0,0.34,1.1,0,0,2.2,0.0,0.419,1.28,0,0,1.7,0.0,0.137,0.42,0,0,2.2,0.0,,0,zero_movement,0.419,1.28,0,False,False,False,
banana__167_banana,banana,167_banana,put the banana on the tray,326,11.315,commanded,1,30.9,0.0031,0.564,13.98,10,0,20.0,0.0,0.511,12.15,4,0,15.0,0.0,0.423,6.45,0,2,22.0,0.0062,0.376,13.87,5,3,30.9,0.0062,,0,normal,0.564,13.98,10,False,False,False,
banana__168_banana,banana,168_banana,put the banana on the tray,362,12.914,commanded,10,37.7,0.0277,0.948,31.12,13,0,19.6,0.0,0.443,17.63,3,1,22.7,0.0028,0.556,21.91,7,0,17.7,0.0,0.357,10.79,9,11,37.7,0.0277,,0,normal,0.948,31.12,13,False,False,False,
banana__170_banana,banana,170_banana,put the banana on the tray,125,4.883,commanded,0,3.4,0.0,0.151,1.51,0,0,4.1,0.0,0.332,2.62,0,0,7.5,0.0,0.401,3.93,0,0,8.0,0.0,0.169,3.01,0,0,8.0,0.0,,0,zero_movement,0.401,3.93,0,False,False,False,
banana__171_banana,banana,171_banana,put the banana on the tray,167,5.418,commanded,0,2.3,0.0,0.139,1.43,0,0,8.1,0.0,0.432,7.11,0,0,8.4,0.0,0.462,6.25,0,0,9.8,0.0,0.277,4.96,2,0,9.8,0.0,,0,zero_movement,0.462,7.11,2,False,False,False,
banana__172_banana,banana,172_banana,put the banana on the tray,554,18.841,commanded,3,49.2,0.0054,0.411,14.99,11,14,150.9,0.0253,2.76,148.64,18,17,147.0,0.0307,2.596,128.77,19,6,47.4,0.0108,0.711,25.86,13,40,150.9,0.0307,shoulder_lift;elbow_flex,2,oscillation,2.76,148.64,19,True,True,True,high_mean_and_peak
banana__184_banana,banana,184_banana,put the banana on the tray,639,24.405,commanded,4,87.0,0.0063,0.592,25.83,12,8,150.1,0.0125,1.062,29.82,17,10,140.7,0.0157,1.014,27.33,18,5,53.4,0.0078,0.673,22.08,14,27,150.1,0.0157,,0,normal,1.062,29.82,18,False,False,False,
banana__193_banana,banana,193_banana,put the banana on the tray,437,15.719,commanded,2,43.4,0.0046,0.377,9.48,4,6,132.2,0.0138,0.99,18.13,11,8,138.9,0.0183,1.039,24.01,10,2,41.3,0.0046,0.475,18.62,6,18,138.9,0.0183,,0,normal,1.039,24.01,11,False,False,False,
banana__194_banana,banana,194_banana,put the banana on the tray,159,7.095,commanded,0,2.9,0.0,0.149,1.06,0,0,1.7,0.0,0.391,1.38,0,0,2.1,0.0,0.357,1.46,0,0,1.2,0.0,0.119,0.6,0,0,2.9,0.0,,0,zero_movement,0.391,1.46,0,False,False,False,
box__012_box,box,012_box,put the box on the tray,520,17.529,commanded,2,49.8,0.0039,0.383,12.91,6,7,123.2,0.0135,0.896,11.73,8,5,98.6,0.0096,0.765,10.26,12,5,35.5,0.0096,0.469,14.38,5,19,123.2,0.0135,,0,normal,0.896,14.38,12,False,False,False,
box__017_box,box,017_box,put the box on the tray,580,21.388,commanded,4,84.8,0.0069,0.548,27.7,7,10,152.0,0.0173,1.042,31.66,13,8,155.8,0.0138,0.889,29.1,13,5,60.3,0.0086,0.503,21.4,9,27,155.8,0.0173,,0,normal,1.042,31.66,13,False,False,False,
box__021_box,box,021_box,put the box on the tray,736,27.631,commanded,2,44.7,0.0027,0.458,21.9,14,9,123.4,0.0122,1.259,59.19,21,11,124.1,0.015,1.181,69.01,20,7,39.2,0.0095,0.602,22.18,16,29,124.1,0.015,,0,normal,1.259,69.01,21,False,False,False,
